question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type,answer,predicted_answer,gpt4_answer
Action of the muscle marked (with arrow) on mandible is,"Muscle marked - temporalis Elevators of mandible: MTM Masseter Elevation, protraction Temporalis Elevation retraction Medial pterygoid Elevation, protraction Depressors of mandible Lateral pterygoid Depression, protraction Mylohyoid Depression Ant. belly of digastric Depression Muscle of mastication develop from 1st pharyngeal arch Nerve - mandibular branch of trigeminal.",1,Elevation,Depression,Retraction,Protraction,Anatomy,AIIMS 2018,7060bcf3-fde4-41e3-ad46-260857a92b46,single,Elevation,Elevation,Elevation
Which is associated with defect in DNA repair,,1,Xeroderma pigmentosum,Albinism,Icthyosis,Sickle cell anaemia,Pathology,,8b84483e-3b11-4c8b-8e10-ba9f512b7341,single,Xeroderma pigmentosum,Nan,Xeroderma pigmentosum
A child to emergency with accidental ingestion of cyanide. It blocks citric acid cycle by blocking:,Ans: C. NAORef: Harper 30Ie p132)Cyanide blocks citric acid cycle by blocking NAD+,3,Aconitase,Acetyl-CoA production,NAO,Citrate,Biochemistry,,399563b2-ad18-41a9-82bc-3d49e1642fd9,single,NAO,NAO,Cytochrome c oxidase
"When a dentist says that "" I cannot fix your teeth if you do not open your mouth wide:"" He is employing:","Problem ownership:

Negative messages like 'You must sit still'; undermine the rapport between child and dentist. ""You"" messages carry the implication that the child is wrong.
Instead ""I"" messages increase the flow of information. Eg: I cannot fix your teeth if you do not open your mouth wide. This is called problem ownership.",1,Problem ownership.,Voice control,Tolerance.,Flexibility.,Dental,,c68dea51-2e4e-4276-89b2-30b2337be400,single,Problem ownership.,Problem ownership,Directive language
A 55-year-old male presents with severe backache for 10 days and urinary incontinence with a H/o Interveebral lumbar disc prolapse. There is no H/o fever or weight loss. What is the likely diagnosis?,"Ans: C: Cauda equine syndromeRef: Apley!c system of ohopaedics and fracture 9"" ed., pg. 246,480Cauda equina is tuft of fibres which begins at the end of spinal cord.Compression over this pa may cause cauda equina syndrome.Causes of Cauda equina syndrome are:Lumbar disc herniation, Spinal canal stenosis, Trauma, Abscess etc.",3,Potts spine,Multiple myeloma,Cauda equine syndrome,Bone metastasis,Surgery,,78b95ab4-b15f-4942-b618-8b36e946a5d0,single,Cauda equine syndrome,Cauda equine syndrome,Cauda equina syndrome
Metallic taste is due to SnF in saliva is,,3,Stannous triphosphate,Stannic triphosphate,Tin hydroxyl phosphate,Stannous hydroxide,Dental,,0fd4145e-dd41-4526-be14-77e4dc457b1d,multi,Tin hydroxyl phosphate,Nan,False
Pediatric patient planned for costochondral graft for TMJ ankylosis is intubated best by,,3,Topical anesthesia plus sedation,General anaesthesia,Awake fibreoptic intubation,Tracheostomy,Surgery,,edd8ad29-2dd6-4e4b-8494-0f6af658444d,single,Awake fibreoptic intubation,Nan,Fiber-optic intubation.
Thyroglossal fistula is:,,2,Lined by squamous epithelium,Causes a bulge in neck,Inflammatory lesion,Precancerous lesion,Surgery,,e9c312b7-2cc1-41ec-8daa-a55d69514721,single,Causes a bulge in neck,Congenital,An abnormal tract from persistent thyroglossal duct remnants.
"Fluoride pit and fissure sealants belong to which
generation?","TYPES OF PIT AND FISSURE SEALANTS
1. Based on curing method:
First generation:

Polymerized with ultraviolet light of 350 nm wavelength. 
Absorbs UV light excessively and prevents complete polymerization of the sealant. 
Light intensity varies from lamp to lamp.

Second generation:

Self-cured or chemically cured. 
Most of them were unfilled. 
Can be transparent, opaque or tinted. 
Filled show increased wear and abrasion resistance than unfilled.

Third generation - Visible light cured of 480-490 nm wavelength. 
Fourth generation - With addition of fluoride for added benefit.
Soben Peter
5th edition
Page no. 440",4,I,II,III,IV,Dental,,75394ad7-5dde-4b6b-8cec-7365972b5dd6,single,IV,Fourth generation,4th generation
Which of the following is true about Catlan's appliance?,,2,It is used to treat cross-bite of maxillary posterior teeth,It is constructed on the lower anterior teeth with an inclined plane,If used for a long period it results in anterior deep bite,Of constructed on the upper anterior teeth it has a 45 degree angulation,Dental,,2e8bf810-fae5-49c4-8d7d-b27d8073d414,multi,It is constructed on the lower anterior teeth with an inclined plane,It is a nan,It prevents thumb sucking.
Which teeth are least involved in periodontitis?,,2,Lower incisor and lower molar,Lower premolar and upper canine,Upper molars and upper incisors,Lower incisors and upper molars,Dental,,0209aeca-8c86-4341-afbf-d702a7f4f47c,single,Lower premolar and upper canine,Nan,Third molars (wisdom teeth)
Prucalopride drug is ?,"Ans. A. 5HT4 agonist* Prucalopride is a drug acting as a selective, high affinity 5-HT4 receptor agonist which targets the impaired motility associated with chronic constipation, thus normalizing bowel movements.* Approved for use in Europe in 2009.* Prucalopride, a first in class dihydro-benzofuran-carboxamide, is a selective, high affinity serotonin (5-HT4) receptor agonist with enterokinetic activities.* Prucalopride alters colonic motility patterns serotonin 5-HT4 receptor stimulation: it stimulates colonic mass movements, which provide the main propulsive force for defecation.* The observed effects are exeed highly selective action on 5-HT4 receptor.* Prucalopride has >150-fold higher affinity for 5-HT4 receptors than for other receptors.",1,5HT4 agonist,5HT2b agonist,5HT2b antagonist,5HT2a agonist,Pharmacology,,cafc0a38-bb29-4271-a180-95433a85392c,single,5HT4 agonist,5HT4 agonist,A laxative.
"During voluntary movements, Golgi tendon organ has an impoant role to play because it continuously relays to the efferent neurons:","Ans: D. Tension in the muscle(Ref.: Ganong 25/e p232; Guyton 13/e p697, 701).Golgi tendon organ senses muscle tension.""The Golgi organ (also called Golgi tendon organ, GTO, tendon organ, neurotendinous organ or neurotendinous spindle) senses changes in muscle tension.It is a proprioceptive sensory receptor organ that is at the origins and inseion of skeletal muscle fibers into the tendons of skeletal muscle. It provides the sensory component of the Golgi tendon reflex.",4,Length of the muscle at rest,Change in angle of joint during motion,Change in length of muscle before and after the movement,Tension in the muscle,Physiology,,f6c37d84-4658-45dd-b75d-741f6f1bcff2,single,Tension in the muscle,Tension in the muscle,Tension information.
"The hormone, which stimulates uterus contraction and lets down milk, is:",,4,Progesterone,Prolactin,Prostaglandin,Oxytocin,Physiology,,bc7fdabc-0c33-4e85-befe-0015ca601164,single,Oxytocin,Oxytocin,Oxytocin
Production and citation impact of published work of a scientist or scholar,,2,Impact factor,Citation,H index,Z index,Dental,,6b3b112c-3f6a-4f33-afe6-421e410a1700,single,Citation,h-index,H-index
Ig in GCF?,,3,Ig A,Ig M,Ig G,Ig D,Dental,,b84028e6-34ae-44f6-9deb-10d9122d592f,single,Ig G,IgA,1
The function of compensating curve is,,1,To provide balanced occlusion in complete dentures when mandible is protruded,To aid in establishing an incisal guide,Same as function of curve of spee,None of the above,Dental,,8db1c114-d051-431f-93d1-4a7f2ae7d2a6,multi,To provide balanced occlusion in complete dentures when mandible is protruded,To compensate for the curvature of the eye ball,To balance occlusal forces.
Induction of inhalational agent is faster.,"Answer- B. Combined with nitrous oxideInduction of inhalational agent is faster, if it is combined with nitrous oxide.'The blood:gas paition coelficient is the mainfactor that determines the rate of induction and recovery of an inhalationanaesthesic, and the lower the blood: gas paition coefficient, the faster is induction and recovery.The second gos effect usually refers to nitrous oxide combined with an inhalation agent. Because nitrous oxide is notsoluble in blood, its rapid absorption from alveoli causes an abrupt rise in the alveolar concentration of the otherinhalation anesthetic leading to faster induction.",2,Agent with high blood gas solubility,Combined with nitrous oxide,Person with increased residual volume,Right to left shunt,Anaesthesia,,3fb75e9e-82c7-424f-b7ff-60e5ddaa24b5,single,Combined with nitrous oxide,Combined with nitrous oxide,True
Hammock ligament is present:,,3,Between temporal and sphenoid bone,Between hamular notch and mandible,In apical area of a tooth,As a part of deep cervical fascia,Dental,,bbe12324-c347-478e-b5bb-9a39e8969571,single,In apical area of a tooth,Nan,In the uterus.
Centric holding cusp is?,,4,Mesiobuccal cusp of maxillary 1st molar,Mesiolingual cusp of mandibular first molar,Distolingual cusp of mandibular 1st molar,Mesiopalatal cusp of maxillary 1st molar,Dental,,7c79a7f1-20d7-4205-a05a-f974ecc2186c,single,Mesiopalatal cusp of maxillary 1st molar,Nan,Functional cusp
What is the Ilekt step in management of a 32 years old woman with a 5 years history of primary infeil-ity with bilateral tubal block seen at cornu on hys-terosalpingogram?,"Answer- B. Laparoscopy and hysteroscopyBilateral tubal block at cornu should be confirmed using Laparoscopy and hysteroscopy (Chromopeubation test), which is the gold standard. Trestment of choice will be tuboplosty, but other causes like spasm shoukl be ruled out ss hysterosalpingogram is not a very reliable test.",2,In vitro feilization,Laparoscopy and hysteroscopy,Intracytoplasmic sperm injection,Tuboplasty,Gynaecology & Obstetrics,,09971098-f9bf-4cc3-969f-e77e18595c96,multi,Laparoscopy and hysteroscopy,Laparoscopy and hysteroscopy,IVF (In Vitro Fertilization)
Pickling is done:,,1,To remove oxide film from casting,Polish the casting,Improve the strength of casting,Avoid casting defects,Dental,,bdc7d080-b3a4-4edb-acc4-08a35d181e75,single,To remove oxide film from casting,Preservation of food,To preserve food.
MHC Class II proteins are expressed by:,"Answer- A. B-cells, dendritic cells and macrophagesMHC Class II proteins are expressed by all antigen-presenting cells, which include B-cells, follicular dendritic cells and macrophages. MHC Class I proteins are expressed by all nucleated cells, which excludes platelets and RBCsHLA class I antigens (A, B and C) are found on the surface of viually all nucleated cells- They ere the principal antigens involved in graft rejection and cell-mediated cytolysis.Class, I molecules may function as components of hormonal receptors. HLA class II antigens are more restricted in distribution, being found only on cells of the immune system macrophages, dendritic cells, activated T cells, and paicularly on B cells.""",1,"B-cells, dendritic cells and macrophages",Platelets,T-cells,All nucleated cells,Microbiology,,de1065e8-37ba-4b6b-a05d-f967fdf76f58,multi,"B-cells, dendritic cells and macrophages","B-cells, dendritic cells and macrophages",Antigen-presenting cells (APCs)
Soft tissue curettage is used for:,,1,Shallow pockets with gingivitis,Deep pockets with gingivitis,Infrabony pockets,Oedematous gingiva,Dental,,a0c6e73e-5ed5-42b5-a71c-24e031f7e7e8,multi,Shallow pockets with gingivitis,Nan,Gum disease treatment.
All are true about RVG except:,The digital radiographic resolution is lower than produced with silver halide emulsions.,4,80% reduction of patient exposure,Instant imaging,Easy to storage and retrieval.,Image is sharper than caused by silver halide.,Dental,,c1ad828e-687d-4f0b-b014-9b0b5555548e,multi,Image is sharper than caused by silver halide.,Digital radiographic resolution is higher than produced with silver halide emulsions,Not reusable
HCO3/H2CO3 is the best buffer because it is:,Ans: B. Its components can be increased or decreased in the body as needed(Ref:Harper 30/e p11; Gaizung 25/e p6).HCO/H2CO3:Best buffer.As components can be increased or decreased in body as needed.Bicarbonate buffer system:Most powerful extracellular buffer in body.Since both elements of buffer system (HCO 3- & CO).Regulated respectively by kidneys & lungs.pH of extracellular fluid precisely controlled by HCO removal & addition by kidneys & CO 2 removal by lungs.,2,pKa near physiological pH,Its components can be increased or decreased in the body as needed,Good acceptor and donor of H+ ions,Combination of a weak acid and weak base,Biochemistry,,20445700-6fe0-4e44-b27c-561d580c5ea9,single,Its components can be increased or decreased in the body as needed,Its components can be increased or decreased in the body as needed,pH range.
Which of the following is an essential fatty acid?,"The fatty acids that are required by humans, but are not synthesized in the body, hence need to be supplied in the diet are known as essential fatty acid (EFA). Humans lack the enzymes that can introduce double bond beyond 9th Carbon.
They are Polyunsaturated Fatty Acid namely:

Linoleic acid.
Alpha linolenic acid.
Arachidonic acid is considered as semi-essential fatty acid as, it can be synthesized from linoleic acid.",3,Linoleic acid,Alpha linolenic acid,Both of the above,None of the above,Biochemistry,,ed24d502-040d-47a0-b3ed-d355cd0481a8,multi,Both of the above,Linoleic acid,Linoleic acid
In female adrenal gland secretes which hormone?,"Ans. D. DHEADHEA is an endogenous steroid hormone. This means it is naturally made by the body, and it spurs specific tissues or cells into action.It is also known as androstenolone, 3b-hydroxyandrost-5-en-17-one and 5-androsten-3b-ol-17-one.DHEA is one of the most abundant steroid hormones in the human body. It is produced by the adrenal glands, the gonads, and the brain.It is normally found in the form of dehydroepiandrosterone sulfate (DHEAS).The body holds DHEAS in reserve and conves it to specific hormones when needed.It is impoant for creating estrogen and androgen sex hormones and contributes to the development of so-called androgenic effects, or masculinization.These changes include the production of oilier skin, changes in body odor, and the growth of armpit and pubic hair.",4,Progesterone,Testosterone,Estrogen,DHEA,Physiology,,6bd02755-f813-46d8-87ff-e40297a2a949,single,DHEA,DHEA,Estrogen
Which of the following is the function of Hyperpolarizing Cyclic Nucleotide (HCN) gated channels?,"Ans: A. Cardiac rhythm generationHyperpolarizing Cycling Nucleotide (HCN) gated channels:Present in SA & AV nodes.Channel opens in hyperpolarization phase.Essential for generating pacemaker potential in SA Node (cardiac rhythm generation).HCN-Nervous systemHCN-Cardiovascular systemControls neuronal excitability, synaptic transmission & rhythmic oscillatory activity in individual neurons & neuronal networks.Play an impoant role in synaptic plasticity & memory, thalamocoical rhythms & somatic sensation.Some evidence indicates they also play a role in mechanisms of epilepsy & pain.HCN4 is the main isoform expressed in the SA node, but low levels of HCN1 & HCN2 are also seen.Current through HCN channels, called ""funny current or pacemaker current"", plays a key role in generation & modulation of cardiac rhythmicity.",1,Cardiac rhythm generation,Generation of mitochondrial action potential,Myocardial muscle contraction,Memory formation,Physiology,,eb01af3c-48a4-484b-a376-1074eb7450e2,single,Cardiac rhythm generation,Cardiac rhythm generation,Regulate heart rate.
"A 4 year old child sustained a fracture in central incisor one month ago. On examination, a necrotic pulp was seen with no other pathological findings. The treatment of choice is:","A 4 year old child sustained a fracture in central incisor one month ago. On examination, a necrotic pulp was seen with no other pathological ﬁndings. The treatment of choice is endodontic treatment and root canal ﬁlling with ZOE.",4,Watchful observation,Extraction followed by space maintainer,Pulpectomy and root canal filling with gutta percha,Endodontic treatment and root canal filling with ZOE,Dental,,62b9add2-a5e9-451f-92c2-2eee629ee143,single,Endodontic treatment and root canal filling with ZOE,Endodontic treatment and root canal ﬁlling with ZOE,Pulpectomy
Both ketogenic and glucogenic amino acids as,,1,Isoleucine,Leucine,Arginine,Glycine,Biochemistry,,5948bf46-bda9-45d2-8165-c12f8387e345,multi,Isoleucine,Alanine,"Both ketogenic and glucogenic amino acids are types that can be converted into ketone bodies or glucose, respectively."
"An un-immunized 13 months old child comes to you in OPD, according to the latest immunizations schedule, what vaccines will you advise??","Ans: D. OPV 3 doses, 3 IPV 3 DPI : Hep-BRef: ip. o rg/file s/I A P-imm unizution-sc he du le- 2 0 I 6- I P- 2 0 I 6-E p u b. p df* The latest schedule of immunization under NIS is as follows:* vNational Immunization Schedule (NIS) for Infants, children and Presnant women - - OPV 3 doses, 3 IPV 3 DPI : Hep-B",4,"OPV 3 doses, I IPV 3 Pentavalent and I measles","BCG, OPV 3 doses, 3 lPV, 3 Pentavalent and I measles","OPV 3 doses, I IPV 3 Pentavalent and 2 measles","OPV 3 doses, 3 IPV 3 DPI : Hep-B",Pediatrics,,238019d8-3c6b-486e-9d00-fda1273d22e7,single,"OPV 3 doses, 3 IPV 3 DPI : Hep-B","OPV 3 doses, 3 IPV 3 DPI : Hep-B","DTaP, Hib, PCV, IPV, HepB, MMR, Varicella, HepA."
"A 32 weeks pregnant female presented with labor pains and minimal vaginal discharge, on analysis of the cervicovaginal discharge showed presence of fetal fibronectin. What is the probable diagnosis?",Fibronectin is a glycoprotein that binds amnion and chorion to the decidua of uterus. Normally present in the cervicovaginal secretions before 22 weeks and after 37 weeks of pregnancy. Presence of Fibronectin (>50ng/ml) in between these weeks is suggestive of preterm labor. When the test is negative it reassures that delivery will not occur within next 7 days.,1,Preterm labour,IUGR,IUD,Cervical infection,Gynaecology & Obstetrics,AIIMS 2018,05f7f85c-a5f7-438b-a8b4-afd025228b21,single,Preterm labour,Preterm labor,Preterm labor
"A65-year-old male adult presents with chronic sinusitis, nasopharyngeal ulcers, cavitatory lung nodules and renal failure. What will be the appropriate next diagnostic step?","Ans: C. ANCA and evaluation for vasculitis(Ref Harrison 19/e p2182-2184, 18/e p2786, 2789)Suggestive of Wegener's Granulomatosis.Wegener's Granulomatosis:c-ANCA positive small vessel vasculitis. levels are required for diagnosis.Tests:Specificity of a positive antiproteinase-3 ANCA for granulomatosis with polyangiitis (Wegener's) is very high, especially if active glomerulonephritis is present.However, the presence of ANCA should be adjunctive and, with rare exceptons, should not substitute for a tissue diagnosis.",3,Lung biopsy,Sputum AFB and PCR for TB,ANCA and evaluation for vasculitis,ESR,Medicine,,babb3528-da02-4ffa-b15f-4a678c902be2,multi,ANCA and evaluation for vasculitis,ANCA and evaluation for vasculitis,ANCA (antineutrophil cytoplasmic antibodies) test.
All of the following are true about COPD except:,,4,Decreased FEV1,Decreased MEFR,Increased RV,Decreased diffusion capacity,Medicine,,7ffc9c61-2859-48c9-8d16-7776f1e81c3d,multi,Decreased diffusion capacity,Nan,It's fully reversible.
Bias that arises from evaluating data on patients and hospital records only such that probability of exposure to a particular factor is increased is known as:,,1,Berkesonian bias,Confound bias,Memory or recall bias,Selection bias,Dental,,0915d8e7-21e1-4755-99a0-ac45b259c408,multi,Berkesonian bias,Nan bias,Selection bias
A midwife at a PI-IC is monitoring pregnancy and maintaining the paograph of pregnancy progression. At how much cervical dilation should the paograph plotting be staed?,"Answer- A. 4 cmPaograph recording is usually staed after a cervical dilation of 3 cm (not the 4 cm), i.e. the active stage of labor As 3 cm is not given in the option, we have to choose 4 cm.",1,4 cm,5 cm,6 cm,8 cm,Gynaecology & Obstetrics,,086cd30e-0ed9-4b7b-9346-38529b1445b8,single,4 cm,4 cm,4 cm
Geniculate neuralgia is caused in the nerve,Geniculate neuralgia (Nervus intermedius neuralgia) results from herpes zoster infection of geniculate ganglion and nervus intermedius branch of seventh cranial nerve.,1,VII,IX,X,II,Pathology,,05863ba7-3f7b-48eb-a74b-7cd2598065b4,single,VII,Facial nerve,Facial nerve (VII cranial nerve)
Empty Thecal sac sign in:,"* Arachnoiditis is chronic inflammation of meninges and can occur after intrathecal injection of contrast agent, infections, drugs leading to nerve root getting adhered into peripheral meninges giving the appearance of EMPTY THECAL SAC sign on T2 weighted MRI * Tethered Cord Syndrome is when the spinal cord extends below the elbow level due to lipoma of Filum terminal or post op scarring/ adhesions that prevent spinal cord from ascending upward and it remains below L2 level.",1,Arachnoiditis,Tethered Cord syndrome,Veebral osteomyelitis,Discitis,Radiology,AIIMS 2018,d7f6905a-377d-4fa0-a5a5-d7f5c8d8ac4f,single,Arachnoiditis,Arachnoiditis,Cauda equina syndrome
An absolute indication for LSCS in case of a Heart disease is:,"Heart disease during pregnancy, in itself is not an indication for cesarean section.
Cesarean section in heart disease is done in specific cases.

“In coarctation of aorta, elective cesarean section is indicated to prevent rupture of the aorta or mycotic cerebral aneurysm.”

Dutta Obs. 7/e, p 278",1,Co-arctation of Aorta,Eisenmenger syndrome,Ebsteins anomaly,Pulmonary stenosis,Gynaecology & Obstetrics,,7ce281ed-c512-4456-a9f7-87b7620d628d,single,Co-arctation of Aorta,Coarctation of aorta,Eisenmenger's syndrome
Which is not true about vibrio cholera,,4,It is non-halophilic,Grows on simple media,Man is the only natural host,Cannot survive in extracellular environment,Microbiology,,f23569ea-da84-4e74-aa14-69c64f04424d,multi,Cannot survive in extracellular environment,Nan is the size of vibrio cholera,Non-spore forming
Gene commonly indicated in congenital cataract:,Answer- B. CRYGS-3'Gene-S crystalline gene (CRYGS) mutalion causes dominant progressive coical cataract in humans.,2,PAX-6,CRYGS-3,LMX- IB,PITX-3,Ophthalmology,,71803632-1b88-4332-88f5-be3ac2515b85,single,CRYGS-3,CRYGS,CRYAA
"A case of jaundice with 50% direct bilirubin, other LFTs normal. Diagnosis is –","50% direct bilirubin means conjugated hyperbilirubinemia.
Normally the direct (conjugated) bilirubin is less than 15-20% of total bilirubin.

Normal Values of bilirubin
Total bilirubin       >             0.2 - 1.9 mg/d1.
    Direct bilirubin >             0 - 0.3 mg/dl.

So, this child has : -


Conjugated hyperbilirubinemia
Other LFTs normal


Amongst the given options, Rotor syndrome and Primary biliary cirrhosis cause conjugated hyperbilirubinemia.
In Primary biliary cirrhosis, other LFTs are also abnormal, e.g., SGOT and SGPT are raised. Now we are left with Rotor syndrome which causes conjugated hyperbilirubinemia. Other LFTs are normal.",1,Rotor syndrome,Gilbert syndrome,Glucuronyl transferase deficiency,Primary biliary cirrhosis,Pediatrics,,3b184f01-db13-4379-ab0b-7709853e0326,single,Rotor syndrome,Rotor syndrome,Gilbert's syndrome
Pickling:,,3,Is accomplished by soaking the casting in baking soda,Causes porosity in gold,Removes surface oxides from gold castings,Remove investment from gold casting,Dental,,bd9727ab-e559-41ba-9006-304697e2c9b7,single,Removes surface oxides from gold castings,Preservation of food by soaking in a solution of salt and water or brine,Preserving food in vinegar or brine.
Easiest 3rd molar surgical extraction is:,,1,Mesioangular,Horizontal,Vertical,Distoangular,Surgery,,b304b0be-c800-43e4-be04-739bd0cc47fd,single,Mesioangular,Nan,Lower third molar.
"In examining the edentulous mouth of an aged patient wearing complete maxillary denture against six mandibular teeth, the dentist will see:",,2,Cystic degeneration of the foramina of the anterior palatine nerve,Loss of osseous structure in the anterior maxilla,Flabby tissue in the posterior region,Decrease interocclusal distance,Dental,,4cb6b49b-3422-4add-9f90-7a7d6678be62,single,Loss of osseous structure in the anterior maxilla,A high maxillary ridge,Resorbed ridges and worn teeth.
Obstructive sleep apnoea caused by the following,,4,Mandibular ameloblasma,Dentigerous cyst,Orbital fracture,Bilateral TMJ ankylosis,Surgery,,18f4759f-08b6-4600-b14c-27e86a1e7e38,single,Bilateral TMJ ankylosis,Enlarged tonsils,Tissue blocking airway.
Von Willebrand factor is secreted by which of the following?,Endothelial cells contain intracellular stores known as WeibelPallad bodies which contain Von-willebrand factor and P-selectin.,2,Macrophages,Endothelial cells,Platelets,Fibroblast,Pathology,AIIMS 2019,35e5b5ae-82da-4f68-a011-91818a64c684,single,Endothelial cells,Endothelial cells,Endothelial cells
Factors affecting the treatment of MI,,3,Regional wall motion abnormality,Troponin level,Both,,Medicine,,6acbfeaf-7cbc-44d4-8d2c-e5555da695a2,multi,Both,"Age, sex, diabetes, hypertension, hyperlipidemia, smoking, family history, previous MI, previous PCI, previous CABG, previous stroke, previous heart failure, previous AF, previous PVD, previous CVA, previous PCI, previous CABG, previous stroke, previous heart failure, previous AF, previous PVD, previous CVA, previous PCI, previous CABG, previous stroke, previous heart failure, previous AF, previous PVD, previous CVA, previous PCI, previous CABG, previous stroke, previous heart failure, previous AF, previous PVD, previous CVA, previous PCI, previous CABG, previous stroke, previous heart failure, previous AF, previous PVD, previous CVA, previous PCI, previous CABG, previous stroke, previous heart failure, previous AF, previous PVD, previous CVA, previous PCI, previous CABG, previous stroke, previous heart failure, previous AF, previous PVD, previous CVA, previous PCI, previous CABG, previous stroke, previous heart failure, previous AF, previous PVD, previous CVA, previous PCI, previous CABG, previous stroke, previous heart failure, previous AF, previous PVD, previous","Patient health, severity, timing."
All of the following are features of systemic Juvenile Rheumatoid Arthritis except –,"The eye manifestation are seen in Pauciarticular and Polyarticular JRA but not in systemic JRA.
Juvenile Rheumatoid Arthritis can be divided in 3 major clinical types",1,Uveitis,Rash,Fever,Hepatosplenomegaly,Pediatrics,,ee3171ee-b65b-477b-9a73-ea8316b648aa,multi,Uveitis,Eye manifestation,Rash
An 80 kg male patient presented to the emergency with hypotension and you have been instructed to sta him on an inotrope at a dose of 10 mcg/kg/min. Each 5 mL amp of the drug contains 200 mg drug. You choose 2 ampules of the drug and decide to mix it with saline to make a 250 mL solution. What should be the flow rate of the drug solution to maintain the BP of the patient (assuming 16 drops = 1 mL)?,"Ans: B. 8 drops/minA dosing of 10 mgm/kg/min of drug is requiredWeight = 80 kgTotal dose required = 10x80 = 800 mgm/min = 0.8 mg/minNow two 5 mL ls each containing 200 mg is diluted to a 250 mL solution.i.e. 400 mg is mixed in 250 mLConcentration of solution: 1 mL = 400/250 = 1.6 mg/mLNow, 1 mL 16 drops = 1.6 mg i.e. 16 drops contain 1.6 mgHence, 0.8 mg/min = 8 drops/min = 0.5 mL/min",2,4 drops/min,8 drops/min,10 drops/min,16 drops/min,Medicine,,b934e553-46ba-4692-a9cc-cc1ae26e7d4f,single,8 drops/min,8 drops/min,40 drops/min
"A two year old girl child is brought to the out patient with features of hand wringing stereotype movements, impaired language and communication development, breath holding spells, poor social skills and deceleration of head growth after 6 months of age. The most likely diagnosis is –","This 2 years child has following problems.


Hand wringing movements.
Impaired language and communication development.
Breath holding spells
Poor social skills
Decleration of hand growth after 6 months.


Now see the clinical features of Rett syndrome.

a. Age of onset is around 5 months.

Development may proceed normally until 1 yr of age, when regression of language and motor milestones become apparent.

a. Acquired microcephaly (Decleration of head growth due to significantly reduced brain weight).
* Most children develop peculiar sighing respirations with intermittent periods of apnea that may be associated with cyanosis --> Breath holding spells.

The hallmark of Rett syndrome is repetitive hand wringing movements and a loss ofpurposeful and spontaneous use of the hands.
Autistic behavior is a typical finding in all patients.
Generalized tonic-clonic convulsions occur in the majority.
Feeding disorder and poor weight gain are common.
Death occurs in adolescence or in the 3rd decade.
Cardiac arrhythmias may result in sudden, unexpected death.
Clinical features given in question prefectly match with Rett syndrome

Asperger syndrome 

Qualitative impairment in the development of reciprocal social interaction.
More common in males
Normal intelligence.
Eccentric interests.
No language impairments that characterize autism.
Children with Asperger syndrome appear to be at high risk for other psychiatric disorder",2,Asperger's syndrome,Rett's syndrome,Fragile x–syndrome,Colarad syndrome,Pediatrics,,f9739409-2790-47a9-80b7-98c70f0bcc16,single,Rett's syndrome,Rett syndrome,Rett syndrome
How many scores are used in modified Dean's ﬂuorosis index?,"DEAN'S FLUOROSIS INDEX

It was introduced by Trendley H. Dean in 1934. It is also known as 'Dean's Classification System For Dental Fluorosis'.
The criteria for Dean's fluorosis index was based on a 7-point ordinal scale: normal, questionable, very mild, mild, moderate, moderately severe, and severe.

Dean's Fluorosis Index – Modified Criteria (1942)
6 points – Normal, questionable, very mild, mild, moderate, severe.
Essentials of preventive and community dentistry
5th edition
Soben Peter",2,4,6,8,5,Dental,,541cbd4f-c0d8-43b8-bebe-9fabaa9023cd,single,6,,Six
Beta 3 glucan assay testing not done for,"Beta 3 glucan assay is used to detect the presence of beta 3 glucan in the fungal cell wall. It is used for Invasive candidiasis, Aspergillosis, Pneumocystis cranii but not for Mucormycosis.",4,Invasive candidiasis,Aspergillosis,Pneumocystis carnii,Mucormycosis,Microbiology,AIIMS 2019,a1bea2c7-217e-4240-a208-541618437eec,single,Mucormycosis,Mucormycosis,Unknown reasons.
Topical treatment for recurrent respiratory papillomatosis includes:,"Ans: B. Cidofovir(Ref Dhingra 74, p346, 6/c, p305).Cidofovir:Topical treatment for recurrent respiratory papillomatosis (Incomplete in stopping tumor growth).Mostly injected to control frequency of tumor growth.",2,Acyclovir,Cidofovir,Ranitidine,Zinc,ENT,,b192b045-d178-4bbf-8796-3c26dae548f3,single,Cidofovir,Cidofovir,Bevacizumab.
More than 80% cephalic index of a patient indicates which of the following,,1,Brachycephalic,Mesocephatic,Dolicocephalic,Depends on age,Dental,,b81486a0-3a2d-447b-b740-7d086488d10c,single,Brachycephalic,Microcephaly,Brachycephaly
Major determinant of loading dose of a drug is,LOADING DOSE = Vd * target plasma concentration MAINTENANCE DOSE = Clearance * target plasma concentration,3,Half life,Clearance,Volume of distribution,Bioavailability,Pharmacology,AIIMS 2018,c3b4d610-571b-4e86-be27-d41b8b2efc65,single,Volume of distribution,Volume of distribution,Volume of distribution.
"Divergence from contact area in proximal surfaces
causes embrasures:",,4,Facially,Lingually,Cervically,"Facially, lingually, cervically & occlusally",Dental,,149a2ddf-56f1-431b-ba74-5ba05950ae9e,multi,"Facially, lingually, cervically & occlusally",None of the above,True
Yellowish-brown staining of the IOPA dental X-ray film is due to:,,1,Immersion in fixer without washing,Increased temperature of developer,Increased exposure time,Drying away of the developer solution,Radiology,,b973cb7b-da19-43d1-a05c-7fa5ec994cdc,single,Immersion in fixer without washing,Nan,Ageing of the film.
