question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type,answer,chosen_answer,bert_score_f1,opa_score,opb_score,opc_score,opd_score,chosen_op
Mandibular fossa is a part of:,"Mandibular fossa is a part of temporal bone. It along with articular tubercle forms the upper articular surface of TMJ.
Note:Lower articular surface is formed by head of mandible",4,Mandible bone,Maxilla bone,Sphenoid bone,Temporal bone,Anatomy,,2b6830cf-090a-415c-adee-e61a42038930,single,Temporal bone,Temporal bone,1.000000238418579,0.7900924682617188,0.8397635221481323,0.8180326223373413,1.000000238418579,4
Which of the following scoring system is used for wound infection?,Southampton Wound Grading System Grade/Appearance Subtype/Appearance 0: Normal healing I: Normal healing with mild bruising or erythema la: some bruising lb: Considerable bruising Ic: Mild erythema II: Erythema plus other signs of inflammation IIa: At one point IIb: Around sutures IIc: Along wound IId: Around wound III: Clear or hemoserous discharge IIIa: At one point only (<2 cm) IIIb: Along wound (>2 cm IIIc: Large volume IIId: Prolonged (>3 days) IV: Pus IVa: At one point only (<2 cm) IVb: Along wound (>2 cm),3,ASA score,SIRS score,Southampton score,Glasgow score,Surgery,AIIMS 2019,8e0eacd3-9755-426d-b1c5-2bff71295f88,single,Southampton score,Southampton score,0.9999999403953552,0.8369830846786499,0.7773798108100891,0.9999999403953552,0.8676687479019165,3
"Ellis and deway classification of traumatic fractures are
how many",,1,9,5,3,4,Dental,,8b2419cc-518a-4fc5-8d09-594e35e796c0,single,9,9,1.000000238418579,1.000000238418579,0.7346727252006531,0.7382902503013611,0.7409436702728271,1
β-oxidation of odd-chain fatty acids produce:,,2,Succinyl CoA,Propionyl CoA,Acetyl CoA,Malonyl CoA,Biochemistry,,1f154298-9b29-4661-a4da-3b88bc5acc64,single,Propionyl CoA,Propionyl CoA,1.0,0.8163626790046692,1.0,0.8522858023643494,0.8433568477630615,2
All of the following can cause epidemic in post-disaster period except,"Ans. a. LeishmaniasisPost-disaster PeriodAn outbreak of gastroenteritis is the most commonly repoed disease in the post-disaster period. Increased incidence of acute respiratory infections is also common in the displaced population.Vector-borne diseases will not appear immediately but may take several weeks to reach epidemic levels. Displacement of domestic and wild animals increases the risk of transmission of zoonoses. Some of these animals may be reservoirs of infections such as leptospirosis, rickettsiosis, etc.Rickettsial diseases are also seen post-disaster especially in refugee camps.Wild animals are reservoirs of infections, which can be fatal such as equine encephalitis, rabies, and infections still unknown to humans.",1,Leishmaniasis,Leptospirosis,Rickettsiosis,Acute respiratory infections,Social & Preventive Medicine,,bed477a6-5416-4f65-9859-e454fa02adbc,multi,Leishmaniasis,Leishmaniasis,1.0,1.0000001192092896,0.7139599919319153,0.8203200101852417,0.693742573261261,1
Most common morphological variation is seen in:,,1,Maxillary lateral incisor,Mandibular lateral incisor,Maxillary canine,Mandibular canine,Dental,,abbc3eaf-dde4-426e-9222-6bbd6522888f,single,Maxillary lateral incisor,Maxillary lateral incisor,1.0000001192092896,1.0000001192092896,0.9186534285545348,0.8800784349441528,0.776807427406311,1
"A 10 years old boy came to emergency with complains of severe pain in right scrotum that is not relieved for the past 1 hour. On examination, testicular torsion of the right side is suspected. The surgical intervention should be:",Testicular torsion - It is a surgical emergency - Confirm the diagnosis by decreased vascularity in Doppler (IOC) - Emergency orchidopexy- Within 4 hours - In patients of ischemia - Orchidectomy - During orchidopexy- Contralateral hemiscrotum should be explored and fixed because bell clappers deformity is usually bilateral. - Bilateral orchidopexy is preferred for Testicular torsion,3,Immediate scrotal exploration of the affected side and operate opposite side if symptomatic,Delay exploration and operate opposite side if symptomatic,Immediate exploration of the affected side and operate opposite side even if asymptomatic,Delayed exploration on the affected side along with the opposite side even if asymptomatic,Surgery,AIIMS 2019,063acadd-aa14-4684-87cb-ee4ee644da8c,single,Immediate exploration of the affected side and operate opposite side even if asymptomatic,Immediate scrotal exploration of the affected side and operate opposite side if symptomatic,0.930263876914978,0.9999999403953552,0.9129074811935424,0.930263876914978,0.8869216442108154,1
"In which of the following condition, mandibular stabilization is not governed by the facial nerve contraction?",,2,Infantile swallow,Mature swallow,Complex tongue thrusting,Retained infantile swallow,Dental,,b444b8b8-faf7-4a56-be73-c880ad2f2c8f,multi,Mature swallow,Infantile swallow,0.8445701003074646,0.9999997615814208,0.8445701003074646,0.7640646696090698,0.9516560435295104,1
Enzymes help by:,,1,Lowering the activation energy,Increasing the substrate concentration,Decreasing the surface tension,Increasing the activation energy,Biochemistry,,ff410d96-12d4-43ba-8b24-7bfbd8ad360c,single,Lowering the activation energy,Lowering the activation energy,1.0,1.0,0.863974392414093,0.8535902500152588,0.9773125648498536,1
Best biochemical description of glucose is?,"Glucose:

Simple sugar (monosaccharides)
Has six carbon atoms (hexose)
Its C-4 epimer is galactose
Has 2 isomers - D-isomer (D-glucose/dextrose, occurs widely in nature) and L-isomer (L-glucose - does not occur much in nature)
It is stored as a polymer (in plants as starch and in animals as glycogen)",3,Exists as ketose sugar,Present in L form in all biosystems,Its C-4 epimer is galactose,It's a disaccharide,Biochemistry,,f453239e-7a50-4fcc-a6c3-a30bab8a7bbc,multi,Its C-4 epimer is galactose,Option 3: Its C-4 epimer is galactose,0.9508796334266664,0.7447230815887451,0.7236020565032959,0.9508796334266664,0.7398291230201721,3
Preganglionic parasympathetic fibres travel to otic ganglion from:,,2,Facial nerve,Glossopharyngeal nerve,Trigeminal nerve,None of the above,Anatomy,,80d59cb5-4ac4-4540-8ac1-61d508892ba5,multi,Glossopharyngeal nerve,Facial nerve,0.7670323848724365,1.0,0.7670323848724365,0.7851731181144714,0.6147725582122803,1
In a non-diabetic high risk pregnancy the ideal time for non stress test monitoring is:,"Intervals between NST testing
“The interval between tests is arbitrarily set at 7 days. According to ACOG, more frequent testing is advocated for women with posterm pregnancy, type I diabetes mellitus, IUGR or gestational hypertension. In these circumstances some investigators recommend twice weekly (i.e. after 72 hours) with additional testing performed for maternal or fetal deterioration regardless of the time elapsed since the last test. Others recommend NST daily. Generally daily NST is recommended with severe preeclampsia remote from term.”",2,48 hrs,72 hrs,96 hrs,24 hrs,Gynaecology & Obstetrics,,e0120b3c-b9c7-4167-a9e7-b07b767d14d3,single,72 hrs,72 hrs,0.9999998807907104,0.9667649865150452,0.9999998807907104,0.9520007967948914,0.9510926008224488,2
Age of preoperational stage is,,2,1-2 years,2-7 years,8-11 years,0-2 years,Dental,,814f7a8f-438c-43ba-883c-4d020de61083,single,2-7 years,0-2 years,0.8999221324920654,0.959383189678192,0.8999221324920654,0.8572417497634888,0.9999999403953552,4
"A Patient presented to emergence after A with multiple rib fractures. He is conscious speaking single words. On examination, respiratory rate was 40/minute and BP was 90/40 mmHg. What is immediate next step?","A + Multiple Rib Hemothorax Pneumothorax Tension Pneumothorax Flail chest with pulmonary contusion Conscious + Speaking Single words Dyspnea Tachypnea - RR - 40 min - Tachypnea - BP - 90/40 mmHg - Low BP TENSION Pneumothorax Multiple Rib Dyspnea Tachypnea Low BP Tension Pneumothorax: d/t ""One-way valve"" air leak Complete collapse of punctured lung Mediastinum - opposite side displacement | venous return M/C Penetrating chest trauma. Blunt chest trauma with air leak Latrogenic Clinical Picture: Restlessness Tachypnea Dyspnea Distended neck veins. Management: Clinical dx with dire emergency T/t should be never delayed for radiological confirmation. Hence, CXR is not performed. Treatment: Immediate decompression + wide bore needle into 2nd ICS - mid-clavicular line T/f of choice: ICT inseion - 5th ICS (Triangle of Safety) in anterior axillary lines Triangle of Safety:Boundaries:Anterior- Lat. Border of Pec. MajorPosterior- Lat. border of Latissimus dorsiSuperior/Apex- Base of AxillaInferior/Base- Line passing through 5th ICS",4,Urgent IV fluid administration,Intubate the patient,Chest X-ray,Needle inseion in 2nd intercostal space,Surgery,AIIMS 2019,8e0091b2-ee93-4115-8bf5-c4f53ef0d118,multi,Needle inseion in 2nd intercostal space,Needle inseion in 2nd intercostal space,0.9999998807907104,0.750411868095398,0.7250955700874329,0.7125311493873596,0.9999998807907104,4
"In class 2 inlay preparation, How should the pulpal floor be placed in comparison with pulpal floor in amalgam class 2 preparation?",,2,Deeper,Pulpal floor for amalgam should be placed deeper in dentin,Same as Amalgam,None of the above,Dental,,4a6eaca4-d9e1-4cb1-b30a-7cbbbd07f683,multi,Pulpal floor for amalgam should be placed deeper in dentin,Deeper,0.7015413641929626,0.9999998211860656,0.7015413641929626,0.6722356677055359,0.6780401468276978,1
"The fourth root canal if present in a maxillary 1st molar
is usually present in:",,2,Mesiolingual root,Mesiobuccal,Palatal root,Distal root,Dental,,dd01b2ed-fb23-4b63-b9f0-5f6d2142d00d,multi,Mesiobuccal,Mesiolingual root,0.8251453638076782,1.0,0.8251453042030334,0.8020046353340149,0.774462103843689,1
Which of the following component acts as an accelerator in ZOE impression paste?,,1,Zinc Sulphate & Zinc chloride,Zinc chloride & Eugenol,Zinc Sulphate & Eugenol,Glycerin,Dental,,ae97bd1c-7138-4c9f-abf6-52375abcd6f4,single,Zinc Sulphate & Zinc chloride,Eugenol,0.7034575939178467,0.7034575939178467,0.850756824016571,0.8357840776443481,0.6912791132926941,2
Which drug causes flagellate pigmentation of skin?,"Ans: A. BleomycinRef: Goodman and Gilman, I3,h ed., pg. 1193Few case repos of bleomycin induced flagellate dermatitis and pigmentations are available in literature.",1,Bleomycin,Minocycline,Vincristine,Daunorubicin,Pharmacology,,13775adf-3c9f-46c4-9149-d0a382e24277,single,Bleomycin,Bleomycin,0.9999999403953552,0.9999998807907104,0.6995917558670044,0.6823580861091614,0.7204331159591675,1
"If during an application of an orthodontic force, the level declines to zero between activations then the force duration is classified as:",,2,Continuous force,Interrupted force,Intermittent force,Differential force,Dental,,362bf8a9-de7e-48dd-aecf-3ecd13b280b8,single,Interrupted force,Intermittent force,0.9357285499572754,0.8808587789535522,0.9357285499572754,1.0,0.8320467472076416,3
Which material undergoes hysteresis?,,2,Irreversible hydrocolloid,Reversible hydrocolloid,Impression plaster,Metallic oxide paste,Dental,,1bcc4893-9641-4f95-95c7-8c81492eb9a9,multi,Reversible hydrocolloid,Reversible hydrocolloid,1.0,0.9126121401786804,1.0,0.7121375203132629,0.7628883719444275,2
In 3rd nerve palsy all seen except?,"Ans: A. Pupil dilationRef: American Academy of Ophthalmolog 2018, third nerve palsyThe pathway for pupillary constriction for each eye has an afferent limb taking sensory information to the midbrain, and two efferent limbs (one to each eye).",1,Pupil dilation,Ptosis,Outward upward rolling of pupil,Impaired pupillary reflex,Ophthalmology,,731b8834-5904-47e0-a208-d46bcf1c6c9b,multi,Pupil dilation,Pupil dilation,1.000000238418579,1.000000238418579,0.7166625261306763,0.808388352394104,0.795515775680542,1
Mesial marginal developmental groove is seen in,"Mesial Aspect

From the mesial and distal aspect both the buccal and lingual cusps are visible
A well developed mesial marginal ridge and a mesial marginal developmental groove is present
In the middle of the mesial surface is the mesial developmental depression which continues beyond the cervical line",1,Maxillary 1st premolar,Mandibular lateral incisor,Maxillary lateral incisor,Mandibular 1st premolar,Dental,,163e1bfc-0b55-4bbe-9eb4-e18802ccfd24,single,Maxillary 1st premolar,Maxillary 1st premolar,1.0,1.0,0.8025668263435364,0.8728755712509155,0.901967704296112,1
Focal sclerosing osteomyelitis is:,,3,Due to excessive periosteal bone formation,An extremely painful condition,Due to low grade chronic infection,A common sequel following sequestrectomy,Pathology,,bad6110e-a565-49ea-b3fb-a22adb83e53c,single,Due to low grade chronic infection,Option 3,0.6323253512382507,0.6003325581550598,0.6425743103027344,0.6323253512382507,0.6236821413040161,2
Counter bevel in tooth should not be given in,Direct lines: “A counter bevel is not placed on the facial cusps of maxillary premolars and first molars due to esthetic considerations”.,1,Facial surface of premolar,Occlusal surface of premolar,Lingual surface of premolar,Any surface of premolar,Dental,,c31b85f2-e3c3-4122-a330-2d5452dfb836,single,Facial surface of premolar,Option 1,0.5992645621299744,0.5992645621299744,0.580400288105011,0.5879648923873901,0.6352672576904297,4
Which of the following drug has gameticidal action against all species of plasmodium?,"Primaquine: It is gameticidal against all species of Plasmodium i.e. vivax, ovale, falciparum, malariae. Hence, it is DOC to prevent transmission of malaria. It is also used for Radical cure of vivax and ovale malaria as it can kill hypnozoites as well. Chloroquine and Quinine: Gameticidal against P. vivax species only",1,Primaquine,Chloroquine,Quinine,None of these,Pharmacology,AIIMS 2018,5ec6e275-1772-4d73-8776-77b38eb82ef2,multi,Primaquine,Primaquine,1.0,1.0,0.7757328748703003,0.7305933833122253,0.6516474485397339,1
Arch perimeter can be measured with,,2,Cephalogram,Brass wire,Vernier calipers,Occlusal radiograph,Dental,,3f3eba1b-e5c8-4213-9fa1-c73b569b116d,single,Brass wire,Cephalogram,0.6976020932197571,0.9999997615814208,0.6976020932197571,0.6996435523033142,0.7507282495498657,1
Ideal depth for root end filling with MTA is?,,1,3mm,5mm,7mm,1mm,Dental,,8c856812-d5b4-4d2f-8a29-8265bab5ecb6,single,3mm,3mm,0.9999997615814208,0.9999998211860656,0.9252321124076844,0.9154651165008544,0.9284445643424988,1
Primary herpetic gingivostomatitis usually occurs:,,1,Prior to age 10,Between ages 13 to 30,At the onset of the menstrual period,During menopause,Dental,,6c237081-5070-4262-8a45-5b308499818b,multi,Prior to age 10,Prior to age 10,1.0,1.0,0.7889459729194641,0.6641364693641663,0.6521574854850769,1
In spherical alloys as compared to lathe cut:,,1,Less condensing force is required,More condensing force is required,Both require same condensing force,Manipulation is easy,Dental,,280724b1-2ca3-416f-beb6-3e06c2511b1f,multi,Less condensing force is required,Less condensing force is required,1.0000001192092896,1.0000001192092896,0.9872775077819824,0.877942681312561,0.7303105592727661,1
A young female presents to OPD with a spontaneous aboion and secondary amenorrhea since then. FSH was found to be 6 IU/mL. What is the most probable cause of amenorrhea?,"* Since the lady is having secondary amenorrhea following an aboion, uterine synechiae is the most likely. Although uterine synechiae mostly develops with an overzealous curretage, it is also seen in spontaneous aboions. Also, here FSH levels are normal so it ours an end organ pathology. (Normal serum FSH value in adult woman is 5 - 20 lU/ml).* In case of ovarian failure - FSH will be high* In case of pituitary failure - Level of FSH is low.",4,Ovarian failure,Pituitary failure,Ongoing pregnancy,Uterine synechiae,Gynaecology & Obstetrics,AIIMS 2018,3745bf96-43aa-40b2-ae62-3be01c0f92a4,single,Uterine synechiae,Uterine synechiae,1.0,0.7666741609573364,0.7465498447418213,0.7267627716064453,1.0,4
Most common route for metastasis of oral cancer is by:,,2,Direct extension,Lymphatics,Blood vessels,Aspiration of tumor cells,Pathology,,d1172f42-7798-412a-9097-fce4ccea0db1,single,Lymphatics,Direct extension,0.6239408254623413,1.000000238418579,0.6239408254623413,0.6847262978553772,0.6653921008110046,1
"All the following are features of Addison's disease, EXCEPT:",,2,Hypoglycemia,Hypocalcaemia,Hypotension,Hyponatremia,Medicine,,ff7fb7f6-d85e-44f5-af84-9dc2d140b067,multi,Hypocalcaemia,Hypoglycemia,0.8613041639328003,1.0000001192092896,0.8613042235374451,0.8003084063529968,0.885551929473877,1
"Electric nerve tester detects pain by stimulating which nerve fibres (OR) Sharp, shooting pain in reversible pulpitis indicates stimulation of (OR) In pulp hyperemia which nerve fibers are stimulated",,3,A alpha,A beta,A delta,C fibres,Dental,,8a91d036-5cc2-49a1-8ce0-d92b771ed10d,single,A delta,A delta,0.9999998807907104,0.8970921635627747,0.9013105034828186,0.9999998807907104,0.7033636569976807,3
Which of the following is ω9 family?,,1,Oleic Acid,Linoleic acid,Linolenic acid,Arachidonic acid,Biochemistry,,a4dc69af-5979-42bd-aa75-154aad4d8565,single,Oleic Acid,Oleic Acid,1.0000001192092896,1.0000001192092896,0.9093807339668274,0.8802220225334167,0.8568135499954224,1
Who discovered the structure and amino acid sequence of insulin as well as the interspecies differences in molecular structure and won the Nobel prize for?,"Ans: b. Frederick Sanger /Ref Lehninger 5/e p903-904, 292)Frederick Sanger discovered the structure and amino acid sequence of insulin as well as the interspecies differences in molecular structure and got the Nobel Prize for that.Fredrick Sanger again with Walter Gil,be got Nobel prize in 1980Jim sequencing of large nucleic acid (DNA) molecule.""",2,Prof. JJ Abel,Frederick Sanger,"Rutter, Goodman and Uhlich",Frederick Banting and Charles Best,Physiology,,0b1e3ca7-b56b-4c9c-a660-2ff1a12393b1,single,Frederick Sanger,Frederick Sanger,0.9999997615814208,0.6843794584274292,0.9999997615814208,0.7297347187995911,0.7889111042022705,2
"If rate of loading is decreased, the mechanical properties of material:","Mechanical events are both temperature and time dependant. As the temperature increases, the mechanical property values decrease. The stress strain curve appears to move to the right and downward. The opposite occurs  during cooling. As the rate of loading decreases, the mechanical properties decrease. This is called 'Strain rate sensitivity' and has important clinical implications. To momentarily make a material's behaviour stiffer or elastic, strain it quickly.
Eg.: Remove elastic impressions rapidly so that it will be more elastic and more accurately records the absolute dimensions.",3,Remains unchanged,Increases,Decreases,Becomes unpredictable,Dental,,aa676348-78a3-4571-a4a9-2c38c97d6fb2,single,Decreases,Decreases,0.9999999403953552,0.7377467155456543,0.9207078218460084,0.9999997615814208,0.8022200465202332,3
"In relaxed state, chest wall and lung recoil are balanced at:","Ans: D. FRC(Ref: Ganong 25/e p629, 24/e p629; Guyton 13/e p502)In relaxed state, chest wall and lung recoil are balanced at functional residual capacity (FRC).Compliance is developed due to the tendency for tissue to resume its original position after an applied force has been removed.After an expiration during quiet breathing (e.g., at the FRC), the lungs have a tendency to collapse and the chest wall has a tendency to expand.",4,Minute volume,TLC,Residual volume,FRC,Physiology,,4a406504-84b2-4e13-8bd3-c149c1c0e0eb,multi,FRC,FRC,1.0,0.6987156867980957,0.7330816388130188,0.6975783109664917,1.0,4
A 35 years old lady has chromosomal translocation 21/21. The risk of down syndrome in the child is –,"Cvtogenetic aspects of own's syndrome -

The most common finding is trisomy 21.
Molecular studies have revealed that the additional number 21 chromosome is derived from the mother in 95% of Cases. (The recurrence risk in these families is approximately 1%.)
If a female with Down syndrome due to trisomy 21 conceives then there is a risk of 50% that the baby will also have trisomy 21.
Males with Down syndrome have rarely if ever reproduced.

Chromosome findings in Down syndrome

Trisomy 21, e.g. 47, XY, + 21                  -                  95%
Mosaicism, e.g. 46, XX, / 47, XX, + 21           -         2%
Robertsonian translocation,

e.g. 46 XX, - 15,+ t (15q21q)                           -               3%
Inheritence in Mosaic if own's syndrome

Children with mosaic Down syndrome are usually less severely affected than in the full-blown syndrome, and if only a small proportion of cells are trisomic then these individuals may lead normal lives.
In the event of reproduction, of these individuals there is a relatively high risk that the baby will have full trisomy 21 with the precise risk equalling the proportion of gametes which carry an additional number 21 chromosome.

Inheritance in Down's syndrome with tranclocation

When a child has Down syndrome as a result of an unbalanced Robertsonian translocation, there is a probability of around 25% that one of the parents will carry this in a balanced form. The remaining 75% of cases arise as de novo events and convey a low recurrence risk of approximately 1%
If, however, a parent is shown to be a carrier then there will be a significant risk that a future child will be affected, usually of the order of 2-5% for a carrier male and 10-15% for a carrier female.
In the very rare event that a parent carries a balanced 21q21e Robertsonian translocation, the risk of Down's   drome in liveborn offs rin• will be 100%.

​Risk of abnormal offspring for a carrier of a balanced translocation",1,100%,0%,10%,50%,Pediatrics,,b3f12eb4-3ba5-4b60-b3fe-38c163ee5d18,single,100%,100%,0.9999998211860656,1.0,0.8357900977134705,0.8660131096839905,0.8555816411972046,1
"Suganti Devi is 30 weeks pregnant with idiopathic cholestasis, is likely to present with following features except:","Let’s see each option separately.
Option “a” Serum bilirubin of 2 mg/dL.
Bilirubin level rarely exceed 5 mg%.
Bilirubin levels are usually between 2-5 mg/dL i.e. Option “a” is correct.
Option “b” Serum alkaline phosphatase of 30 KAU.
“Alkaline phosphatase may be mildly elevated.”
Robbins 7/e, p 921
i.e. alkaline phosphatase levels may be normal also. Hence, option b is correct.
Option “c” SGPT of 200 units.
“Serum transaminases levels are normal to moderately elevated but seldom exceed 250 IU/L.”
Williams Obs. 23/e, p 1064
i.e. Serum transaminases (SGPT) may be 200 units.
Option “d” Prolongation of prothrombin time
“Prothrombin time is usually normal unless there is malabsorption.”
Mgt of High Risk pregnancy – SS Trivedi, Manju Puri, p 356
Prothrombin is coagulant factor II. Its formation in liver is dependant on fat soluble vitamin K. Absorption of vitamin K occurs with bile acid. In cholestasis absorption of bile acid (vitamin K) is not affected, rather there is accumulation of bile acids, so levels of vitamin K and clotting factors dependant on vitamin K are also normal. The prothrombin time therefore, remains normal in cholestasis.
Only when ursodeoxycholic acid or cholestyramine are being given to patients of cholestasis. Prothrombin time needs to be monitored because these drugs decrease the absorption of bile acids and can therefore cause prolongation of prothrombin time.",4,Serum bilirubin of 2 mg/dl,Serum alkaline phosphatase slightly elevated,SGPT of 200 units,Prolongation of prothrombin time,Gynaecology & Obstetrics,,f231bced-c88c-469e-a5e7-0442efe932a1,multi,Prolongation of prothrombin time,Prolongation of prothrombin time,1.0,0.7610309720039368,0.7132159471511841,0.695098876953125,1.0,4
TMJ develops at the age of,"TMJ develops at 8-12 weeks of gestation. It is the last joint to develop in the body.
The work in the above quoted article establishes three phases in TMJ development:
(1) the blastematic stage (weeks 7-8 of development);
(2) the cavitation stage (weeks 9-11 of development); and
(3) the maturation stage (after week 12 of development).
This study identifies the critical period of TMJ morphogenesis as occurring between weeks 7 and 11 of development.",2,18 weeks,10 weeks,6 weeks,29 weeks,Dental,,ea52cf79-3622-4578-bbea-b66cb2833ca2,single,10 weeks,10 weeks,1.0000001192092896,0.933804452419281,1.0000001192092896,0.9422186017036438,0.9133594036102296,2
"Light cure system, side effect is:",,4,Iritis,Cataract,Conjunctivitis,Retinal damage,Dental,,a4e71725-0ed0-4088-bec3-6cfc37490df4,single,Retinal damage,Iritis,0.710585355758667,1.000000238418579,0.7404799461364746,0.8074306845664978,0.710585355758667,1
"A Rh-negative mother, who has Indirect Coombs Test (ICT), negative was given Anti-D during 28 weeks of pregnancy. Which of the following is the ideal one?","Answer- A. Give another dose of Anti-D 72 hours postpaum depending on the baby blood groupACOG (2010) recommends anti-D immune globulin to be given prophylactically to all Rh D-negative, unsensitized women at approximately 28 weeks, and a second dose given after delivery if the infant is Rh D-positive. Before the 28-week dose of anti-D immune globulin, repeat antibocly screening is recommended to identify individuals who have become alloimmunized. Following delivery, anti-D immune globulin should be given within 72 hours.",1,Give another dose of Anti-D 72 hours postpaum depending on the baby blood group,Give another dose of Anti-D 72 hours postpaum irrespective of baby blood group,No need of additional dose since she is ICT negative,All of the above,Gynaecology & Obstetrics,,599296cf-99e1-4a99-8322-cc24fef094a7,multi,Give another dose of Anti-D 72 hours postpaum depending on the baby blood group,Give another dose of Anti-D 72 hours postpaum depending on the baby blood group,1.0,1.0,0.9484556317329408,0.7596074938774109,0.6197606921195984,1
"Which syndrome consists of flushing, warmness and perspiration over the cheek and pinna of the ear on the side following the ingestion of highly seasoned food?","Auriculotemporal Syndrome (Frey's Syndrome, Gustatory Sweating)
The auriculotemporal syndrome is an unusual phenomenon, which arises as a result of damage to the auriculotemporal nerve and subsequent reinnervation of sweat glands by parasympathetic salivary fibres.
Clinical Features 
The patient typically exhibits flushing and sweating of the involved side of the face, chiefly in the temporal area, during eating. The severity of this sweating may often be increased by tart foods. Of further interest is the fact that profuse sweating may be evoked by the parenteral administration of pilocarpine or eliminated by the administration of atropine or by a procaine block of the auriculotemporal nerve.
There is a form of gustatory sweating which occurs in otherwise normal individuals when they are eating certain foods, particularly spicy or sour ones. This consists of diffuse facial sweating, not simply a perioral sweating and may even be on a hereditary basis.
Reference: Shafer’s Textbook of ORAL PATHOLOGY Eighth Edition page no 575",2,Fanconi's syndrome,Auriculotemporal syndrome,Horner's syndrome,Cushing's syndrome,Pathology,,a1111432-f1c4-4e04-b61b-449b435e99ad,single,Auriculotemporal syndrome,Auriculotemporal syndrome,1.0000001192092896,0.7110756039619446,1.0000001192092896,0.7423793077468872,0.7358435392379761,2
According to Tweed inclination of lower incisors by 1° labially increases the arch length by,,2,0.5 mm,0.8 mm,1.0 mm,1.2 mm,Dental,,a861b551-1fc4-4b04-a719-def8b4d7810e,multi,0.8 mm,0.8 mm,0.9999998807907104,0.9235869646072388,0.9999998807907104,0.8701522946357727,0.8732455968856812,2
Foltowing are the features of the color of normal amniotic fluid during delivery?,"Ans: C. Clear colorless to Pale YellowRef: DC Dutto's textbook of Obstetrics, 9't' ed.Green yellow with flakes (meconium stained)- Fetal distressGolden color- Rh incompatibilityGreenish Ye11ow (saffron)- postmaturityDark colored - concealed accidental hemorrhageDark brown (tobacco juice)- Intruterine demise",3,Milky to yellowish green with mucus flakes,Amber colored,Clear colorless to Pale Yellow,Golden color,Gynaecology & Obstetrics,,8870f48b-468f-484c-8070-3b135b2c7ada,single,Clear colorless to Pale Yellow,Clear colorless to Pale Yellow,1.0,0.811413586139679,0.7842692136764526,1.0,0.798250138759613,3
The shape of the occlusal surface of the permanent maxillary first molar is:,,4,Oval,Trapezoidal,Triangular,Rhomboidal,Dental,,80613325-b0b3-41a1-85eb-7be6749e1114,single,Rhomboidal,Rhomboidal,1.0,0.6447785496711731,0.7660786509513855,0.7026646733283997,1.000000238418579,4
A patient presented with a steering wheel injury to the right side of chest with breathlessness and shock. How will you differentiate tension pneumothorax and cardiac tamponade?,"Ans: C. Breath sound(Ref Harrison 19/e p1573, 1719, 18/e p1972)Raised JVP, pulse pressure and muffled hea sounds along with pulsus paradoxus are seen in both cardiac tamponade and tension pneumothorax.These are differentiated by auscultation for breath sounds, which are normal in cardiac tamponade but absent in tension pneumothorax patients.Pericardial Tamponade:The three principal features of tamponade (Beck's triad) are hypotension, soft or absent hea sounds, and jugular venous distention with a prominent x-descent but an absent y-descent.",3,Pulse pressure,JVP,Breath sound,Hea sounds,Medicine,,f4d51744-50f2-42e9-8ec7-5b0e7e55d31e,single,Breath sound,Breath sound,0.9999999403953552,0.7911341786384583,0.6597491502761841,0.9999999403953552,0.7619812488555908,3
Which of the following causes vasodilation?,"Major vasoactive amine responsible for vasodilation is Histamine. It causes dilation of aerioles and increases the permeability of venules. Prostaglandins can also cause vasodilation but major chemical responsible is histamine. Serotonin (5hydroxytryptamine) is a preformed vasoactive mediator present in platelets and ceain neuroendocrine cells, such as in the gastrointestinal tract, and in mast cells in rodents but not humans.",3,Thromboxane A2,Prostaglandin E2,Histamine,Serotonin,Pathology,AIIMS 2019,17180bef-99d8-42c7-9add-372aae82e08e,single,Histamine,Histamine,0.9999999403953552,0.753243088722229,0.7382007241249084,1.0,0.7691975831985474,3
A I 6-y ear-old girl presented with abdominal pain after administration of a sulfa drug. She was incoherent and suffered a seizure. Which of the following is the most likely possibility?,"Ans.a Acuteintermittentporphyria (Re/: Harrison 19/ep2521, 18/ep3168-3169)Acute intermittent porphyria is precipitated by barbiturates, alcohol, exposure to heavy metals, sulfa drugs.Acute Intermittent Porphyria:Precipitated by barbiturates, alcohol, exposure to heary metals, sulfa drugsPresent with nonspecific neurovisceral pain: Abdominal pain, psychiatric disorders, seizures, coma and bulbar Paralysis",1,Acute intermittent porphyria,Congenital erythropoetic porphyria,Adenosine deaminase deficiency,HGPase deficiency,Medicine,,04c3b35b-a3b2-41a1-b540-12a59137a97c,single,Acute intermittent porphyria,Acute intermittent porphyria,1.000000238418579,1.000000238418579,0.856196939945221,0.6829070448875427,0.6967712044715881,1
Microdontia is most commonly seen affecting:,,1,Max. Lateral incisor,Mand. second premolar,Mand. central incisor,Mand. first premolar,Pathology,,11e91efd-b528-4686-bc2c-3c654cea7a6b,single,Max. Lateral incisor,Mand. second premolar,0.7906419634819031,0.7906419634819031,0.9999999403953552,0.8843886256217957,0.9804790019989014,2
Condylar fracture which leads to disruption of TMJ anteriorly is an example of:,,3,Simple fracture,Compound fracture,Complex fracture,Comminuted fracture,Surgery,,64cf8a01-0c3b-412e-815f-0cd5f86fd4a4,single,Complex fracture,Simple fracture,0.9467204809188844,0.9999998807907104,0.9199601411819458,0.9467204809188844,0.8436266183853149,1
